# Run 1: x_init=0.461, y_init=0.865, heading_init=2.139, lightX=0.688, lightY=0.631
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight
0,0.455296,0.873709,1.616136,0.000000,0.000000,0.091997,0.112908,-0.145660,0.020867
1,0.454843,0.883699,0.975867,0.121996,0.176994,0.146995,0.118062,-0.177768,0.026036
2,0.460448,0.891981,0.298486,0.212995,0.086997,0.000000,0.119728,-0.189008,0.026609
3,0.470005,0.894922,-0.184045,0.000000,0.000000,0.000000,0.117011,-0.134320,0.019274
4,0.479836,0.893091,-0.600425,0.000000,0.000000,0.000000,0.111859,-0.115864,0.016673
5,0.488087,0.887442,-1.009967,0.000000,0.000000,0.000000,0.105566,-0.114085,0.016276
6,0.493406,0.878973,-1.424027,0.000000,0.000000,0.000000,0.099201,-0.115309,0.016490
7,0.494869,0.869081,-1.831751,0.000000,0.000000,0.000000,0.093833,-0.113492,0.016290
8,0.492289,0.859420,-2.499266,0.356997,0.000000,0.000000,0.090335,-0.187669,0.024808
9,0.484282,0.853429,-2.838644,0.000000,0.000000,0.000000,0.090837,-0.094521,0.013506
10,0.474737,0.850446,-3.191882,0.000000,0.000000,0.000000,0.093502,-0.098407,0.014032
11,0.464750,0.850948,-3.572733,0.000000,0.000000,0.000000,0.098082,-0.106071,0.015157
12,0.455665,0.855127,-4.043467,0.000000,0.000000,0.000000,0.104075,-0.131144,0.018695
13,0.449463,0.862972,-4.453109,0.000000,0.000000,0.000000,0.110568,-0.114057,0.016336
14,0.446900,0.872638,-5.001477,0.000000,0.074997,0.104996,0.116369,-0.152235,0.022316
15,0.449750,0.882223,-5.656157,0.169994,0.133995,0.000000,0.119720,-0.182157,0.026234
16,0.457848,0.888090,-6.201566,0.052998,0.000000,0.000000,0.118905,-0.152119,0.021490
17,0.467815,0.888906,-6.652050,0.000000,0.000000,0.000000,0.114835,-0.125359,0.018035
18,0.477142,0.885300,-7.073935,0.000000,0.000000,0.000000,0.108970,-0.117427,0.016863
19,0.484175,0.878191,-7.521347,0.000000,0.000000,0.000000,0.102493,-0.124537,0.017879
20,0.487441,0.868739,-7.906410,0.000000,0.000000,0.000000,0.096595,-0.107145,0.015425
21,0.486917,0.858753,-8.263221,0.000000,0.000000,0.000000,0.092164,-0.099396,0.014180
22,0.482937,0.849579,-8.650878,0.000000,0.000000,0.000000,0.089692,-0.107861,0.015534
23,0.475786,0.842590,-9.029170,0.000000,0.000000,0.000000,0.089675,-0.105327,0.015088
24,0.466558,0.838736,-9.452649,0.000000,0.000000,0.000000,0.092063,-0.117891,0.016907
25,0.456562,0.839015,-9.888880,0.000000,0.000000,0.000000,0.096707,-0.121510,0.017346
26,0.447620,0.843491,-10.340396,0.000000,0.000000,0.000000,0.102806,-0.125647,0.018075
27,0.441527,0.851420,-10.803639,0.000000,0.000000,0.000000,0.109200,-0.128894,0.018561
28,0.439619,0.861237,-11.266845,0.000000,0.010999,0.021999,0.114561,-0.128890,0.018553
29,0.442299,0.870871,-11.797153,0.092997,0.059998,0.000000,0.117760,-0.147767,0.021035
30,0.449483,0.877827,-12.307566,0.047998,0.000000,0.000000,0.117661,-0.142342,0.020128
31,0.459150,0.880386,-12.804197,0.000000,0.000000,0.000000,0.114410,-0.138190,0.019893
32,0.468869,0.878030,-13.245323,0.000000,0.000000,0.000000,0.108888,-0.122792,0.017622
33,0.476651,0.871750,-13.659605,0.000000,0.000000,0.000000,0.102479,-0.115325,0.016545
