# Run 2: x_init=0.486, y_init=0.419, heading_init=-2.875, lightX=0.595, lightY=0.757
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight
0,0.476644,0.416223,-3.411571,0.000000,0.000000,0.000000,0.130182,-0.149350,0.021428
1,0.467006,0.418891,-3.950659,0.000000,0.000000,0.000000,0.130751,-0.150038,0.021560
2,0.460105,0.426127,-4.450586,0.000000,0.000000,0.000000,0.127728,-0.139214,0.019918
3,0.457516,0.435786,-4.917085,0.000000,0.000000,0.000000,0.122136,-0.129861,0.018630
4,0.459549,0.445577,-5.555234,0.000000,0.000000,0.427999,0.115386,-0.177971,0.025158
5,0.467015,0.452231,-6.657776,0.464999,0.638001,0.705000,0.109316,-0.305066,0.045884
6,0.476321,0.448572,-7.929743,0.779000,0.763000,0.715000,0.109259,-0.352501,0.052378
7,0.475564,0.438601,-8.702201,0.330997,0.000000,0.000000,0.115690,-0.216547,0.029334
8,0.468063,0.431987,-9.189139,0.000000,0.000000,0.000000,0.121796,-0.135580,0.019417
9,0.458340,0.429653,-9.695086,0.000000,0.000000,0.000000,0.125887,-0.140878,0.020170
10,0.448703,0.432323,-10.260137,0.000000,0.000000,0.000000,0.126878,-0.157329,0.022532
11,0.441994,0.439738,-10.729638,0.000000,0.000000,0.000000,0.124130,-0.130727,0.018720
12,0.439365,0.449387,-11.203054,0.000000,0.000000,0.000000,0.118914,-0.131911,0.018782
13,0.441425,0.459172,-11.739740,0.000000,0.000000,0.187995,0.112352,-0.149519,0.021314
14,0.448199,0.466529,-12.457308,0.062998,0.422999,0.551001,0.105986,-0.197713,0.030696
15,0.458140,0.467617,-13.597675,0.621001,0.652001,0.647001,0.102530,-0.316180,0.046810
16,0.463277,0.459038,-14.507028,0.629001,0.455999,0.000000,0.106187,-0.253183,0.036273
17,0.459662,0.449714,-14.954031,0.000000,0.000000,0.000000,0.112797,-0.124450,0.017835
18,0.452372,0.442869,-15.447430,0.000000,0.000000,0.000000,0.119080,-0.137408,0.019646
