# Run 5: x_init=0.890, y_init=0.676, heading_init=1.300, lightX=0.769, lightY=0.689
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight,state
0,0.892374,0.685947,1.626815,0.000000,0.000000,0.000000,0.015173,0.262046,0.157954,SEEK_LIGHT
1,0.891814,0.695931,1.909595,0.000000,0.000000,0.000000,0.015073,0.255006,0.164994,SEEK_LIGHT
2,0.888490,0.705362,2.155851,0.000000,0.000000,0.000000,0.014489,0.249193,0.170807,SEEK_LIGHT
3,0.882968,0.713699,2.371729,0.000000,0.000000,0.000000,0.013544,0.244358,0.175642,SEEK_LIGHT
4,0.875788,0.720660,2.562243,0.000000,0.000000,0.000000,0.012354,0.240321,0.179679,SEEK_LIGHT
5,0.867420,0.726134,2.731559,0.000000,0.000000,0.000000,0.011017,0.236948,0.183052,SEEK_LIGHT
6,0.858249,0.730121,2.883208,0.000000,0.000000,0.000000,0.009612,0.234136,0.185864,SEEK_LIGHT
7,0.848581,0.732676,3.020236,0.000000,0.000000,0.000000,0.008201,0.231809,0.188191,SEEK_LIGHT
8,0.838654,0.733887,3.145338,0.000000,0.000000,0.000000,0.006831,0.229911,0.190089,SEEK_LIGHT
9,0.828654,0.733849,3.260983,0.000000,0.000000,0.000000,0.005539,0.228405,0.191595,SEEK_LIGHT
10,0.818725,0.732658,3.369543,0.000000,0.000000,0.000000,0.004353,0.227278,0.192722,SEEK_LIGHT
11,0.808984,0.730398,3.473470,0.000000,0.000000,0.000000,0.003291,0.226541,0.193459,SEEK_LIGHT
12,0.799530,0.727140,3.575575,0.000000,0.000000,0.000000,0.002370,0.226250,0.193750,SEEK_LIGHT
13,0.790457,0.722935,3.679528,0.000000,0.000000,0.000000,0.001600,0.226545,0.193455,SEEK_LIGHT
14,0.781869,0.717812,3.790980,0.000000,0.000000,0.000000,0.000988,0.227738,0.192262,SEEK_LIGHT
15,0.773905,0.711765,3.920361,0.000000,0.000000,0.000000,0.000539,0.230592,0.189408,SEEK_LIGHT
16,0.766787,0.704741,4.090746,0.160994,0.000000,0.000000,0.000253,0.237118,0.182882,SEEK_LIGHT
17,0.760963,0.696611,4.351861,0.266996,0.000000,0.000000,0.000126,0.251558,0.168442,SEEK_LIGHT
18,0.757435,0.687254,4.037702,0.354997,0.310997,0.000000,0.000142,0.600000,0.700000,WALL_FOLLOW_LEFT
19,0.751189,0.679445,3.723542,0.377998,0.000000,0.000000,0.000418,0.600000,0.700000,WALL_FOLLOW_LEFT
20,0.742835,0.673949,4.277712,0.000000,0.000000,0.000000,0.000924,0.298199,0.121801,SEEK_LIGHT
21,0.738624,0.664879,7.419305,0.503000,0.455999,0.000000,0.001520,0.500000,-0.500000,TURN_RIGHT
22,0.742835,0.673949,10.560898,0.000000,0.000000,0.000000,0.000924,0.500000,-0.500000,TURN_RIGHT
23,0.738624,0.664879,13.702491,0.503000,0.455999,0.000000,0.001520,0.500000,-0.500000,TURN_RIGHT
24,0.742835,0.673949,16.844084,0.000000,0.000000,0.000000,0.000924,0.500000,-0.500000,TURN_RIGHT
25,0.738624,0.664879,19.985676,0.503000,0.455999,0.000000,0.001520,0.500000,-0.500000,TURN_RIGHT
26,0.742835,0.673949,23.127268,0.000000,0.000000,0.000000,0.000924,0.500000,-0.500000,TURN_RIGHT
27,0.738624,0.664879,26.268860,0.503000,0.455999,0.000000,0.001520,0.500000,-0.500000,TURN_RIGHT
28,0.742835,0.673949,29.410452,0.000000,0.000000,0.000000,0.000924,0.500000,-0.500000,TURN_RIGHT
29,0.738624,0.664879,32.552044,0.503000,0.455999,0.000000,0.001520,0.500000,-0.500000,TURN_RIGHT
30,0.742835,0.673949,35.693638,0.000000,0.000000,0.000000,0.000924,0.500000,-0.500000,TURN_RIGHT
31,0.738624,0.664879,38.835232,0.503000,0.455999,0.000000,0.001520,0.500000,-0.500000,TURN_RIGHT
32,0.742835,0.673949,41.976826,0.000000,0.000000,0.000000,0.000924,0.500000,-0.500000,TURN_RIGHT
33,0.738624,0.664879,45.118420,0.503000,0.455999,0.000000,0.001520,0.500000,-0.500000,TURN_RIGHT
