# Run 6: x_init=0.303, y_init=0.219, heading_init=-0.388, lightX=0.101, lightY=0.446
timeStep,x,y,heading,sensorLeft,sensorMid,sensorRight,lightSensor,wheelLeft,wheelRight,state
0,0.311828,0.215242,1.230999,0.000000,0.000000,0.000000,0.097482,0.957613,0.442387,SEEK_LIGHT
1,0.315161,0.224670,1.895646,0.000000,0.000000,0.000000,0.094634,0.805782,0.594218,SEEK_LIGHT
2,0.311969,0.234147,2.170119,0.000000,0.000000,0.000000,0.089176,0.743684,0.656316,SEEK_LIGHT
3,0.306328,0.242405,2.283689,0.000000,0.000000,0.000000,0.083403,0.718075,0.681925,SEEK_LIGHT
4,0.299788,0.249969,2.330745,0.000000,0.000000,0.000000,0.077744,0.707489,0.692511,SEEK_LIGHT
5,0.292899,0.257218,2.350267,0.000000,0.000000,0.000000,0.072270,0.703107,0.696893,SEEK_LIGHT
6,0.285870,0.264331,2.358378,0.000000,0.000000,0.000000,0.066994,0.701291,0.698709,SEEK_LIGHT
7,0.278784,0.271387,2.361752,0.000000,0.000000,0.005999,0.061917,0.700537,0.699463,SEEK_LIGHT
8,0.271673,0.278418,2.363158,0.000000,0.000000,0.056998,0.057040,0.700224,0.699776,SEEK_LIGHT
9,0.264553,0.285440,2.363746,0.000000,0.000000,0.108996,0.052364,0.700093,0.699907,SEEK_LIGHT
10,0.257429,0.292457,2.363819,0.000000,0.000000,0.161994,0.047887,0.210012,0.209988,SEEK_LIGHT
11,0.250304,0.299474,2.363883,0.000000,0.005999,0.213995,0.043611,0.210010,0.209990,SEEK_LIGHT
12,0.243179,0.306491,2.363937,0.000000,0.072997,0.266996,0.039534,0.210009,0.209991,SEEK_LIGHT
13,0.236053,0.313507,2.678097,0.000000,0.138995,0.319997,0.035657,0.700000,0.600000,WALL_FOLLOW_RIGHT
14,0.227108,0.317978,3.620574,0.000000,0.000000,0.205995,0.032165,0.800000,0.500000,WALL_FOLLOW_RIGHT
15,0.218234,0.313369,3.381582,0.000000,0.000000,0.000000,0.031215,0.171963,0.248037,SEEK_LIGHT
16,0.208520,0.310992,3.176345,0.000000,0.000000,0.000000,0.029677,0.177336,0.242664,SEEK_LIGHT
17,0.198526,0.310645,2.999351,0.000000,0.000000,0.000000,0.027731,0.181831,0.238169,SEEK_LIGHT
18,0.188627,0.312062,2.846082,0.000000,0.000000,0.000000,0.025525,0.185606,0.234394,SEEK_LIGHT
19,0.179061,0.314974,2.712798,0.000000,0.000000,0.010999,0.023178,0.188787,0.231213,SEEK_LIGHT
20,0.169966,0.319132,2.596379,0.000000,0.000000,0.190995,0.020777,0.191471,0.228529,SEEK_LIGHT
21,0.161416,0.324318,2.910538,0.000000,0.000000,0.313997,0.018390,0.700000,0.600000,WALL_FOLLOW_RIGHT
22,0.151682,0.326608,2.741073,0.000000,0.000000,0.064998,0.016766,0.183029,0.236971,SEEK_LIGHT
23,0.142473,0.330507,2.591858,0.004999,0.000000,0.283996,0.015011,0.186252,0.233748,SEEK_LIGHT
24,0.133947,0.335732,2.906017,0.042998,0.150995,0.416998,0.013205,0.700000,0.600000,WALL_FOLLOW_RIGHT
25,0.124223,0.338066,3.220176,0.123996,0.101996,0.217995,0.012159,0.700000,0.600000,WALL_FOLLOW_RIGHT
26,0.114254,0.337281,4.162654,0.124996,0.188995,0.167994,0.011974,0.800000,0.500000,WALL_FOLLOW_RIGHT
27,0.109029,0.328754,3.707720,0.000000,0.000000,0.023999,0.013794,0.137595,0.282405,SEEK_LIGHT
28,0.100589,0.323391,3.321788,0.000000,0.161994,0.269996,0.015023,0.148577,0.271423,SEEK_LIGHT
29,0.090751,0.321598,3.635947,0.259996,0.337997,0.342997,0.015580,0.700000,0.600000,WALL_FOLLOW_RIGHT
30,0.081948,0.316854,3.950106,0.151995,0.334997,0.404998,0.017049,0.700000,0.600000,WALL_FOLLOW_RIGHT
31,0.075043,0.309621,4.264265,0.000000,0.236995,0.401998,0.019286,0.700000,0.600000,WALL_FOLLOW_RIGHT
32,0.070710,0.300609,4.578424,0.000000,0.000000,0.303997,0.022072,0.700000,0.600000,WALL_FOLLOW_RIGHT
33,0.069374,0.290698,5.131337,0.000000,0.000000,0.000000,0.025135,0.297999,0.122001,SEEK_LIGHT
34,0.073442,0.281563,5.591022,0.000000,0.000000,0.000000,0.027811,0.283161,0.136839,SEEK_LIGHT
35,0.081141,0.275181,5.977034,0.000000,0.000000,0.000000,0.029578,0.271436,0.148564,SEEK_LIGHT
36,0.090676,0.272167,6.303724,0.000000,0.000000,0.000000,0.030320,0.261994,0.158006,SEEK_LIGHT
37,0.100674,0.272372,6.581950,0.000000,0.000000,0.000000,0.030133,0.254281,0.165719,SEEK_LIGHT
38,0.110231,0.275316,6.820154,0.000000,0.000000,0.000000,0.029196,0.247911,0.172089,SEEK_LIGHT
39,0.118823,0.280431,7.025051,0.000000,0.000000,0.000000,0.027700,0.242610,0.177390,SEEK_LIGHT
40,0.126195,0.287188,7.202072,0.106996,0.000000,0.000000,0.025820,0.238174,0.181826,SEEK_LIGHT
41,0.132263,0.295137,7.355673,0.223995,0.078997,0.000000,0.023695,0.234446,0.185554,SEEK_LIGHT
