run,x_init,y_init,heading_init,light_x,light_y
1,0.460680,0.865282,2.139297,0.688031,0.631339
2,0.486291,0.418857,-2.875055,0.595254,0.756978
3,0.692059,0.287286,1.565380,0.304108,0.865282
4,0.163234,0.476452,-2.088483,0.461168,0.104541
5,0.248735,0.351570,-0.777081,0.422129,0.520179
6,0.219755,0.264263,-1.034989,0.257622,0.844627
7,0.103003,0.534925,0.128187,0.768600,0.539320
8,0.694208,0.365218,-1.231728,0.146754,0.592032
9,0.127369,0.451378,2.031149,0.186233,0.694110
10,0.891577,0.105103,-3.065275,0.742525,0.556874
