run,x_init,y_init,heading_init,light_x,light_y
1,0.340486,0.690057,2.250706,0.536122,0.746358
2,0.662835,0.447032,-0.531253,0.382430,0.254375
3,0.581143,0.565590,-1.107088,0.447203,0.450182
4,0.862059,0.400986,-1.539109,0.601993,0.586416
5,0.889697,0.676312,1.299801,0.769234,0.689032
6,0.302570,0.219022,-0.387630,0.101465,0.445958
7,0.234623,0.488513,-0.457620,0.740156,0.862377
8,0.339631,0.249126,1.076408,0.609659,0.426133
9,0.615836,0.337117,1.800086,0.747432,0.323151
10,0.491028,0.719355,1.455313,0.192190,0.585000
